lambda_max	seed	worst_platoon	net_mean	mean_AoI_last100	mean_power_mW
5	2	0.135300	0.116680	4.404947	155.057019
5	3	0.157700	0.120200	4.688107	230.234413
5	4	0.109500	0.100600	4.425320	136.175743
5	5	0.109600	0.100900	4.332496	114.606599
5	6	0.136800	0.108720	4.375887	139.873733
5	7	0.227300	0.137900	4.684938	156.241371
10	2	0.125700	0.116060	4.406727	161.181818
10	3	0.172800	0.120360	4.655146	251.300259
10	4	0.105000	0.099380	4.401680	141.454471
10	5	0.106800	0.098420	4.328613	111.998200
10	6	0.110300	0.103120	4.295750	139.393366
10	7	0.224800	0.138620	4.710566	156.297401
20	2	0.123500	0.108720	4.292332	162.691500
20	3	0.158500	0.119380	4.611535	260.927534
20	4	0.105000	0.099380	4.401680	141.454471
20	5	0.105800	0.095540	4.265410	116.036806
20	6	0.110300	0.103120	4.295750	139.393366
20	7	0.161500	0.121700	4.480129	165.524820
