external_id	repo_path	source_commit	legacy_path	method	purpose
CMDP_soft_seed2	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_soft_seed2_base_ep600	continuous_task_decomposed_actor_critic	matched re20 soft reference
CMDP_soft_seed3	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_soft_seed3_base_ep600	continuous_task_decomposed_actor_critic	matched re20 soft reference
CMDP_soft_seed4	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_soft_seed4_base_ep600	continuous_task_decomposed_actor_critic	matched re20 soft reference
CMDP_soft_seed5	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_soft_seed5_base_ep600	continuous_task_decomposed_actor_critic	matched re20 soft reference
CMDP_soft_seed6	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_soft_seed6_base_ep600	continuous_task_decomposed_actor_critic	matched re20 soft reference
CMDP_soft_seed7	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_soft_seed7_base_ep600	continuous_task_decomposed_actor_critic	matched re20 soft reference
CMDP_hard_seed2	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_hard_seed2_t8e10_pid_ep600	continuous_task_decomposed_actor_critic	matched re20 per-platoon constrained reference
CMDP_hard_seed3	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_hard_seed3_t8e10_pid_ep600	continuous_task_decomposed_actor_critic	matched re20 per-platoon constrained reference
CMDP_hard_seed4	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_hard_seed4_t8e10_pid_ep600	continuous_task_decomposed_actor_critic	matched re20 per-platoon constrained reference
CMDP_hard_seed5	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_hard_seed5_t8e10_pid_ep600	continuous_task_decomposed_actor_critic	matched re20 per-platoon constrained reference
CMDP_hard_seed6	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_hard_seed6_t8e10_pid_ep600	continuous_task_decomposed_actor_critic	matched re20 per-platoon constrained reference
CMDP_hard_seed7	X:/Codex-research/RQ1-HardConstraints/AoI-V2X-CMDP	4c85afa75817e4d2d24490338acb7dce2dc0d9d8	1-ModifiedMADDPGwithTDec/model/Canonical_ep600/marl_model_hard_seed7_t8e10_pid_ep600	continuous_task_decomposed_actor_critic	matched re20 per-platoon constrained reference


